follower_count,followed_count,bio,bio_Length,Bio_emoji_Count,#_tags_in_bio,Count_Uploads,isPrivate,Username_len,DigitsInUsername,FullName_len,has_ProfilePicture,Count_Mutual,isVerified,Class
319,389,"['Limitations', 'live', 'only', 'in', 'our', 'minds', 'But', 'if', 'we', 'use', 'our', 'imagination', 'our', 'possibilities', 'become', 'LIMITLESS']",16,1,0,6,1,8,0,13,1,48,0,0
498,399,"['𝕊𝕝𝕠𝕨', '𝕡𝕣𝕠𝕘𝕣𝕖𝕤𝕤', '𝕚𝕤', '𝕓𝕖𝕥𝕥𝕖𝕣', '𝕥𝕙𝕒𝕟', '𝕟𝕠', '𝕡𝕣𝕠𝕘𝕣𝕖𝕤𝕤']",8,1,0,4,0,13,2,15,1,0,0,0
559,451,"['Engineer', 'You', 'cant', 'become', 'the', 'best', 'without', 'first', 'being', 'the', 'worst']",13,7,0,67,1,11,0,14,1,5,0,0
460,556,"['Exboscoite', 'ExAndrean', 'Exchristite', 'Liverpool', 'YNWAcome', 'hasta', 'que', 'duermas', 'y', 'duerme', 'hasta', 'que', 'tengas', 'hambre', 'cheerios']",17,3,2,12,1,14,4,21,1,26,0,0
238789260,455,[],0,0,0,2897,0,9,0,17,0,163,1,0
1083,1091,[],0,0,0,4,1,14,2,12,1,29,0,0
364,457,[],1,1,0,1,1,14,4,11,1,8,0,0
405,408,[],5,0,0,39,1,10,0,11,1,31,0,0
196,191,[],0,0,0,0,1,14,0,14,1,33,0,0
348,279,"['Bid', 'me', 'FLY', 'bearing', 'the', 'olive', 'branch']",8,3,0,27,1,14,0,14,1,22,0,0
1083,1090,[],0,0,0,4,1,14,2,12,1,0,0,0
464,438,"['Mumbai', ""VIT'""]",3,2,0,0,1,12,0,12,1,11,0,0
277,371,[],1,0,0,7,1,11,1,15,1,24,0,0
175,237,"['𝙾𝚄𝚃', '𝚃𝙷𝙴', '𝙽𝙴𝙶𝙰𝚃𝙸𝚅𝙸𝚃𝚈', 'Ğým', 'Аððiстєð']",7,12,0,27,1,11,3,6,1,15,0,0
137,145,"['Always', 'the', 'tone', 'of', 'surprise']",6,10,0,0,1,11,0,14,1,31,0,0
276,541,[],0,0,0,2,1,9,0,9,1,24,0,0
103,101,"['Main', 'nishantjain', 'The', 'insane', 'me', 'Haso', 'aur', 'Hasne', 'do']",10,3,0,94,1,10,0,8,1,0,0,0
1728,1274,"['Indonesian', 'grown', 'with', 'Indian', 'roots']",8,7,0,31,1,16,0,16,1,30,0,0
363,318,"['Lone', 'Elixir']",10,8,0,83,1,18,0,13,1,2,0,0
15,556,[],0,0,0,0,0,10,2,0,1,0,0,0
626,753,[],0,0,0,302,1,9,0,18,1,19,0,0
657,1059,"['Engineer', 'FoodieIGarba', 'Syracuse', 'USA', 'Mumbai', 'India']",7,16,0,201,1,14,0,7,1,17,0,0
275,280,[],0,0,0,2,1,15,0,0,1,36,0,0
1465,1189,"['Dream', 'it', 'Wish', 'it', 'Do', 'it', 'An', 'Engineervolleyball', 'baseball', 'Sagittarius', 'styletravelfitness', 'Mumbai']",12,13,0,56,0,15,2,17,1,35,0,0
118,86,"['Just', 'a', 'regular', 'girl', 'with', 'HB', 'pencil', 'trying', 'to', 'create', 'art']",12,2,0,68,0,8,0,11,1,5,0,0
103,101,"['Main', 'nishantjain', 'The', 'insane', 'me', 'Haso', 'aur', 'Hasne', 'do']",10,3,0,94,1,10,0,8,1,3,0,0
720,781,"['New', 'York', 'Guitar', 'Photography', 'GGMU']",10,7,0,50,1,7,2,12,1,24,0,0
