follower_count,followed_count,bio,bio_Length,Bio_emoji_Count,#_tags_in_bio,Count_Uploads,isPrivate,Username_len,DigitsInUsername,FullName_len,has_ProfilePicture,Count_Mutual,isVerified,Class
255,1854,[],0,0,0,5,0,10,4,0,1,0,0,1
955,1784,[],1,14,0,0,0,22,6,22,1,0,0,1
80,4599,[],0,0,0,4,0,13,5,0,1,0,0,1
140,4573,[],0,0,0,4,0,10,3,0,1,0,0,1
56,923,[],0,0,0,10,0,12,5,0,1,0,0,1
125,7429,[],0,0,0,24,0,13,0,0,1,0,0,1
122,4645,[],0,0,0,25,0,13,0,13,1,0,0,1
79,1918,[],5,0,0,24,0,10,0,0,1,0,0,1
97,3728,[],1,0,0,5,0,9,5,8,1,0,0,1
93,5989,[],0,0,0,4,0,7,0,0,1,0,0,1
112,2365,[],0,0,0,4,0,9,2,0,1,0,0,1
5360,5837,"['دایرکت=بلاکپایه', 'شاتفالو=فالو', 'Sbz', 'تبلیغ', 'دایرکت']",8,5,0,2,1,18,0,0,1,0,0,1
245,7284,[],0,0,0,22,0,9,5,0,1,0,0,1
92,4180,[],0,0,0,4,0,7,0,12,1,0,0,1
109,7467,[],0,0,0,24,0,13,1,0,1,0,0,1
69,1206,[],0,0,0,4,0,13,4,1,1,0,0,1
1078,4964,[],11,0,0,4,0,15,2,8,1,0,0,1
59,652,[],0,0,0,22,0,10,1,0,1,0,0,1
84,4181,[],0,0,0,4,0,12,0,0,1,0,0,1
82,4811,[],0,0,0,24,0,14,1,14,1,0,0,1
64,561,[],2,0,0,6,0,10,0,5,1,0,0,1
79,2073,[],0,0,0,4,0,11,4,5,1,0,0,1
149,3539,[],0,0,0,10,0,13,2,0,1,0,0,1
311,1814,[],0,0,0,0,0,13,1,0,0,0,0,1
75,3546,[],0,0,0,4,0,9,2,9,1,0,0,1
61,1686,[],0,0,0,22,0,11,0,11,1,0,0,1
71,2160,[],1,0,0,24,0,13,5,7,1,0,0,1
2719,5526,[],0,0,0,0,0,15,0,0,1,0,0,1
5002,5164,[],3,0,0,0,0,20,0,21,1,0,0,1
3518,2523,"['مادمت', 'ع', 'قيد', 'الرسم', 'فـ', 'أنا', 'ع', 'قيد', 'الحياة']",9,2,0,9,0,6,1,4,1,0,0,1
2052,5064,[],0,0,0,6,0,11,4,0,1,0,0,1
94,4884,[],0,0,0,4,0,13,3,0,1,0,0,1
57,242,[],0,0,0,4,0,10,0,0,1,0,0,1
149,5430,[],2,0,0,22,1,13,3,0,1,0,0,1
355,2533,[],0,0,0,4,0,7,2,4,1,0,0,1
73,253,[],0,0,0,5,0,10,5,6,1,0,0,1
67,1509,[],0,0,0,25,0,10,1,0,1,0,0,1
73,1195,[],0,0,0,22,0,9,2,0,1,0,0,1
96,5107,[],0,0,0,4,1,10,6,0,1,0,0,1
423,3081,[],14,0,3,4,1,18,0,8,1,0,0,1
147,3988,[],0,0,0,10,0,13,2,0,1,0,0,1
203,368,"['Live', 'in', 'esfahan', 'I', 'love', 'perspolis', 'playing', 'کلاچ']",12,8,0,0,0,16,4,25,0,0,0,1
840,2726,[],1,0,0,63,0,23,0,20,1,0,0,1
500,5485,[],0,0,0,5,1,9,3,11,1,0,0,1
73,1457,[],0,0,0,5,0,11,5,0,1,0,0,1
390,3736,"['شما', 'را', 'دنبال', 'میکند']",4,2,0,4,0,10,4,7,1,0,0,1
50,4647,[],0,0,0,23,1,14,1,0,1,0,0,1
87,1195,[],0,0,0,4,0,10,6,4,1,0,0,1
159,6686,[],3,2,0,5,0,6,0,0,1,0,0,1
6410,3201,"['بافتآموزشبافتولزدردافروشینیونتخصصیزیبااکسسوریمومداکسسوریعروسطراحتاجفشنطراحتورلباسعروسکرج', 'تهران']",8,1,10,152,0,11,0,1,1,0,0,1
1088,2091,"['کاش', 'ته', 'این', 'همه', 'جون', 'کندنامون', 'خوشبختی', 'باشهنه', 'مردن']",10,7,0,0,0,7,5,0,1,0,0,1
86,4331,[],0,0,0,26,1,13,0,1,1,0,0,1
11,580,[],0,0,0,0,0,8,4,0,1,0,0,1
73,2552,[],0,0,0,4,0,10,3,0,1,0,0,1
91,2351,[],0,0,0,6,0,10,2,0,1,0,0,1
91,3081,"['Citi', 'krjKhordasBoks', 'love']",5,3,0,16,1,11,5,0,1,0,0,1
52,287,[],0,0,0,22,0,14,2,0,1,0,0,1
117,2266,[],0,0,0,22,0,15,4,0,1,0,0,1
93,6585,[],0,0,0,23,0,10,5,11,1,0,0,1
124,7336,[],0,0,0,10,0,10,4,0,1,0,0,1
84,3517,"['A', 'LITTLE', 'GIRL', 'WITH', 'BIG', 'DREAMS', 'NO', 'PAIN', 'NO', 'GAIN', 'MUSIC', 'LOVER', 'taylorswift', 'LOVE', 'Spring', 'girl']",21,3,0,24,1,7,0,8,1,0,0,1
93,1890,[],0,0,0,10,0,7,1,0,1,0,0,1
100,4096,[],4,0,0,23,0,11,1,11,1,0,0,1
107,6902,['ArtInS'],2,1,0,24,1,11,2,0,1,0,0,1
66,3108,"['The', 'moonthe', 'sunthe', 'truthAstrophile', 'amp', 'selenophileCMB', 'StuGus']",10,7,0,6,1,12,0,7,1,0,0,1
138,6905,[],0,0,0,4,0,15,9,14,1,0,0,1
1913,1493,[],0,0,0,3,0,15,1,0,1,0,0,1
56,1222,[],0,0,0,22,0,12,3,0,1,0,0,1
1360,2252,"['BRJ', 'Graphicphotomontagephotoshop']",4,1,3,26,0,14,0,21,1,0,0,1
4291,2883,"['فوق', 'لیسانس', 'زبان', 'وادبیات', 'تدریس']",6,2,0,80,0,20,4,15,1,0,0,1
97,6866,[],1,0,0,10,0,9,5,5,1,0,0,1
56,789,[],0,0,0,22,0,16,7,0,1,0,0,1
98,2357,"['تابع', 'قوانین', 'جمهوری', 'اسلامیبرای', 'سفارش', 'افزایش', 'فالور', 'و', 'لایک', 'و', 'دونستن', 'رمز', 'موفقیت', 'ما', 'نت', 'وورک', 'ها', 'دایرکت', 'بدیدخوشحال', 'میشم', 'آنفالوکنی']",25,3,0,24,0,11,4,11,1,0,0,1
121,2719,"['کلیپ', 'عاشقانه', 'خاص', 'جدید', 'ترین', 'عاشقانه', 'ها']",16,21,0,3,0,9,0,10,1,0,0,1
68,4073,[],0,0,0,25,0,7,3,13,1,0,0,1
1405,4011,"['Yazd', 'khozestancb', 'Perspolis']",5,3,0,143,0,13,2,6,1,0,0,1
1521,1834,"['تا', 'خدا', 'هست', 'پریشان', 'نشود', 'خاطر', 'من']",9,5,0,1,0,22,0,17,1,0,0,1
55,1820,[],0,0,0,4,0,11,4,0,1,0,0,1
60,1968,[],0,0,0,25,0,11,6,0,1,0,0,1
104,6329,[],0,0,0,4,0,11,4,0,1,0,0,1
90,5402,[],1,0,0,4,0,8,1,11,1,0,0,1
62,4820,[],0,0,0,5,1,13,0,0,1,0,0,1
1635,1462,"['Yσυяє', 'му', 'ℓιмριєѕт', 'яєαм']",4,4,0,6,0,10,0,0,1,0,0,1
111,4385,[],0,0,0,4,0,19,3,0,1,0,0,1
139,1509,"['Seni', 'seviyorum', 'diyenin', 'sevgisinden', 'şüphe', 'etçünkü', 'aşk', 'sessiz', 've', 'sevgi', 'dilsizdir']",11,1,0,4,0,10,3,2,1,0,0,1
115,7308,[],1,0,0,4,0,8,1,7,1,0,0,1
55,391,[],0,0,0,24,0,7,3,0,1,0,0,1
55,6599,[],0,0,0,9,1,9,1,0,1,0,0,1
148,4210,"['SaramRstمنو', 'تنهاييامSingeleزندگيم', 'فقط', 'ابجيم']",8,9,0,5,1,15,0,0,1,0,0,1
1490,2721,[],19,0,0,76,0,20,4,16,1,0,0,1
78,2301,"['WreStler', 'LOY', 'BAZI', 'KHUDA', 'RAZI']",11,20,0,4,0,11,0,9,1,0,0,1
79,600,[],0,0,0,26,0,16,4,0,1,0,0,1
58,739,[],0,0,0,23,0,14,1,0,1,0,0,1
975,6079,[],0,0,0,9,1,11,0,1,1,0,0,1
484,2456,"['کنکورآساناستنمونهتدریس', 'خرید', 'بسته', 'های', 'آموزشیتماس', 'حاصل', 'نماییدپیجی', 'برای', 'همه', 'کنکوری', 'هاو', 'محصل', 'های', 'ایرانalinoorifardofficial']",19,1,2,11,0,13,0,13,1,0,0,1
